File ID,ENGLISH,ARABIC,FRENCH,GERMAN,RUSSIAN,SPANISH
,Greetings,Al tahiya,Formules de politesse,Begrüßung,Privetstviya,Saludos
1,Greeting,Al tahiya,Salutation,Begrüßung,Privetstviye,Saludo
2,Hello,Marhaban,Bonjour,Hallo,Zdravstvuyte,Hola
3,How are you?,Kaifa halok?,Comment allez-vous ?,Wie geht es Ihnen? ,Kak dela?,¿Qué tal estás?
4,"I am fine, thank you.","Ana bekhairen, Shukran lak.","Je vais bien, merci.",Gut danke,"Vse v poryadke, spasibo.","Estoy bien, gracias."
5,And you?,Wa ant?,Et vous ?,Und Ihnen?,A u vas?,¿Y tú?
6,My name is Roxanne,Esmi Roxanne ,Je m'appelle Roxanne,Mein Name ist Roxanne,Menya zovut Roxanne,Me llamo Roxanne
7,What is your name?,Ma howa Esmok?,Comment vous appelez-vous ?,Wie heißen Sie?,Kak vas zovut?,¿Cómo te llamas?
8,My name is Christine,Esmi Christine,Je m'appelle Christine,Ich heiße Christine,Menya zovut Christine,Me llamo Christine
9,Nice to meet you,Sa'etto beleqa'ek,Enchanté ,Schön sie kennenzulernen,Priyatno poznakomitsya,Encantado de conocerte
10,Nice to meet you too!,Sa'etto beleqa'ek aidan,Enchanté également !,Gleichfalls ,I mne tozhe priyatno poznakomitsya s vami!,¡Encantado de conocerte también!
11,Good morning,Sabaho al khairi,Bonjour,Guten Morgen,Dobroe utro,Buenos días
12,Good afternoon,Masa'o al Khairi,Bon après-midi,Guten Tag,Dobryy den',Buenas tardes
13,Good Evening,Masa'o al Khairi,Bon soir,Guten Abend,Dobryy vecher,Buenas noches
14,Good Night,Lailatan sa'eedatan,Bonne nuit,Gute Nacht,Spokoynoy nochi,Buenas noches
15,Good bye,Ela alleqa'a,Au revoir,Auf Wiedersehen,Do svidaniya,Adiós
16,Yes,Na'am,Oui,Ja,Da,Sí
17,No,La,Non,Nein,Net,No
18,I,Ana ,Je,Ich,Ya,Yo
19,You,Ant ,Tu ,Sie,Vy,Tú
20,Us,Nahno,Nous,Uns,Nas,Nosotros
21,We,Nahno,Nous,Wir,My,Nosotros
22,He ,howa,Il ,Er,On,Él
23,She,Heya,Elle,Sie,Ona,Ella
24,They,Hom,Ils,Sie,Oni,Ellos
25,Thank you,Shukran Lak,Merci,Vielen Dank,Spasibo,Gracias
26,Please,Arjook,S'il vous plait,Bitte,Pozhaluysta,Por favor
27,No thanks,La shukran,Non merci,Nein danke,"Net, spasibo","No, gracias"
28,OK,Mouafeq,D'accord,OK,Khorosho,Vale
29,Sure,Bitakkeed,Bien sûr,Sicher,Konechno,Claro
30,You're welcome,Ala Al rahbi wa al sea'ti,De rien,Bitte,Pozhaluysta,De nada
,Hotel,AL fondoq,Hôtel,Hotel,Otel',Hotel
31,Hotel,Fondoq,Hôtel,Hotel,Otel',Hotel
32,Reservation,Hajz,Réservation,Reservierung,Bronirovaniye,Reserva
33,Room,Ghorfa,Chambre,Zimmer,Nomer,Habitación
34,En-suite bathroom,Hammam,Salle de bain privative,Eigenes Badezimmer,Vannaya komnata v nomere,Baño en la habitación
35,Restaurant,Mata'am,Restaurant,Restaurant ,Restoran,Restaurante
36,Check in,Nazala fi al fondoq,Enregistrement ,Einchecken,Zaezd,Registrarse
37,Checkout time,Waqto tasjeeli al khurooji,Heure de départ,Check-out Zeit,Vremya vyezda,Hora del registro
38,Luggage,Amtea'a,Bagages,Gepäck,Bagazh,Equipaje
39,Room service,Khedmato al ghorafi,Service de chambre,Zimmerservice,Obsluzhivaniye v nomerakh,Servicio de habitaciones
40,Concierge,khedmato al esteqbali,Concierge,Portier,Kons'yerzh,Conserjería
41,Arrive,Wasala,Arrivée,Ankommen,Pribyt',Llegada
42,Housekeeping,Al khedmato wal tantheef,Ménage,Housekeeping (Haushalt),Uborka nomera,Servicio de limpieza
43,Do you have a reservation?,Hal ladaika Hajzon?,Avez-vous une réservation ?,Haben Sie eine Reservierung?,U vas est bron'?,¿Tiene una reserva?
44,I have booked a room for two.,Laqad hajaztu ghorfatan le shakhsaini.,J'ai réservé une chambre pour deux.,Ich habe ein Zimmer für Zwei gebucht,Ya zabroniroval nomer na dvoikh,He reservado una habitación para dos.
45,Can I make a reservation?,Hal yomkenoni amalo hajzin?,Puis-je faire une réservation ?,Kann ich eine Reservierung machen?,Mogu ya vypolnit' bronirovaniye?,¿Puedo hacer una reserva?
46,What is the room rate?,Ma howa se'ero al ghorfati?,Quel est le tarif des chambres ?,Was kostet das Zimmer pro Nacht?,Kakova stoimost' nomera?,¿Cuál es el precio de la habitación?
47,What time is check out?,Ma howa waqto tasjeeli al khurooji?,A quelle heure se font les départs ?,Um wieviel Uhr ist der Check-out?,V kakoe vremya vyezd?,¿A qué hora se deja la habitación?
48,Could you please help me with my lugguge?,Hal yomkenoka mosa'adati ma' amte'ati min fadlek?,Pourriez-vous m'aider avec mes bagages ?,Können Sie mir bitte mit meinem Gepäck helfen?,Ne mogli by vy mne pomoch' c moim bagazhom?,"¿Me podría ayudar con mi equipaje, por favor?"
49,Do you offer room service?,Hal toqademoon khedmata al ghorafi?,Avez-vous un  room service ?,Bieten Sie Zimmerservice an?,Vy predlagayete obsluzhivaniye v nomerakh?,¿Ofrecen servicio de habitaciones?
50,Where is the restaurant?,Aina howa al mata'am?,Où est le restaurant ?,Wo is das Restaurant?,Gde nakhoditsya restoran?,¿Dónde está el restaurante?
,Information,Ma'loomat,Informations,Informationen,Informatsiya,Información
51,Information desk,Maktabo al ma'aloomati,Bureau d'information,Auskunft,Spravochnoe byuro,Mostrador de información
52,Airport,Matar,Aéroport,Flughafen,Aeroport,Aeropuerto
53,Shuttle service,Khedmato al naqli al saree'i,Service de navettes,Zubringerdienst,Transfer,Servicio de transporte
54,Train station,Mahattato sekkatin hadeed,Gare,Bahnhof,Zheleznodorozhnaya stantsiya,Estación de tren
55,Taxi,Taxi ,Taxi,Taxi,Taksi,Taxi
56,Bus,Haafila ,Bus,Bus,Avtobus,Autobús
57,Bicycle,Darrajaton hawa'iya,Vélo,Fahrrad,Velosiped,Bicicleta
