,,,,,,,
,"(208, 219, Arabic)",en,es,fr,de,ru,ar
,1-title,Arabic Vocabulary 1,Vocabulario árabe 1,Vocabulaire arabe 1,Arabischer Wortschatz 1,Арабский словарный запас 1,مفردات اللغة العربية ١
,2-title,Arabic Vocabulary 2,Vocabulario árabe 2,Vocabulaire arabe 2,Arabischer Wortschatz 2,Арабский словарный запас 2,مفردات اللغة العربية ٢
,intro_title,About this course,Sobre este curso,À propos de ce cours,Über diesen Kurs,О курсе,حول هذه الدورة
,intro_fc-1_q,What is this course about?,¿En qué consiste este curso?,"De quoi s’agit-il dans ce cours ?
",Um was geht es bei dem Kurs?,О чем этот курс?,ماذا تقدم هذه الدورة؟
,intro_fc-1_a_short,Arabic for beginners,Árabe para principiantes,Arabe pour débutants,"Arabisch für Anfänger
",Арабский язык для начинающих,اللغة العربية للمبتدئين
,intro_fc-1_a_long,"Arabic is one of the oldest languages in the world and its written from right to left. Arabic has lent many words to not only other Middle Eastern and African countries, but also to many other languages in the western world. This introductory course enables you to use the Modern Standard Arabic in daily life. Learn what to say when you want to greet someone, order food or ask for directions. Simply select your native language from the homepage, and start learning now!","El árabe es uno de los idiomas más antiguos del mundo y se escriba de izquierda a derecha. El árabe ha prestado muchas palabras, no solo a otros países de Oriente Próximo y de África, sino también a muchos otros idiomas de Occidente. Este curso introductorio te permitirá usar el árabe moderno estándar en situaciones de la vida cotidiana. Aprende a saludar, pedir comida o preguntar por lugares. ¡Selecciona tu lengua materna en la página de inicio y empieza a aprender árabe!","L'arabe est l’une des langues les plus anciennes au monde et s’écrit de droite à gauche. Cette langue a enrichi non seulement le vocabulaire de langues du Moyen-Orient et d'Afrique, mais aussi celui de plusieurs langues occidentales. Ce cours de base vous permettra d'utiliser l'arabe standard moderne dans la vie quotidienne. Apprenez comment saluer quelqu'un, passer commande au restaurant ou demander votre direction. Sélectionnez tout simplement votre langue maternelle sur la page d'accueil et commencez à apprendre dès maintenant !","Arabisch ist eine der ältesten Sprachen der Welt und wird von rechts nach links geschrieben. Arabisch hat nicht nur den nahöstlichen und afrikanischen Sprachen sondern auch der westlichen Welt viele Worte geliehen. Dieser Einführungskurs ermöglicht es Ihnen, das moderne Standard-Arabisch im täglichen Leben anzuwenden. Lernen Sie, wie man jemanden begrüßt, wie man Speisen bestellt oder nach dem Weg fragt. Wählen Sie einfach Ihre Muttersprache auf der Startseite und beginnen Sie jetzt mit dem Lernen!","Арабский – один из самых древних языков в мире, на нем пишут справа налево. Множество арабских слов было заимствовано не только в другие языки Ближнего Востока и Африки, но и в европейские языки. Этот вводный курс даст вам возможность использовать арабский язык в повседневной жизни. Выучите фразы приветствий, узнайте, что нужно сказать, чтобы заказать еду или спросить дорогу. Просто выберите на домашней странице свой родной язык и начните заниматься прямо сейчас!",اللغة العربية هي واحدة من أقدم اللغات في العالم، وتكتب من اليمين إلى اليسار. لقد قُدمت العديد من الكلمات العربية إلى اللغات الأخرى وليس فقط في الشرق الأوسط وأفريقيا، ولكن أيضاً للكثيرين في العالم الغربي. تُمكنك هذه الدورة التمهيدية من استخدام اللغة العربية الفصحى الحديثة في الحياة اليومية. تعلم ماذا تقول عندما تريد تحية شخص ما، أو طلب الطعام أو الاستفسار عن الاتجاهات. ببساطة اختر لغتك الأم من الصفحة الرئيسية، وابدأ في التعلم الآن!
,intro_fc-2_q,Who should do this course?,¿A quién se dirige este curso?,"Qui devrait suivre ce cours ?
",Wer sollte diesen Kurs absolvieren?,Кому может быть интересен данный курс?,من الذي عليه أن يدرس هذه الدورة؟
,intro_fc-2_a_short,Anyone interested in learning the basics of Arabic,Personas interesadas en aprender las bases del árabe,Toute personne désirant maîtriser les rudiments de la langue arabe,"Jeder, der sich für die Grundlagen der arabischen Sprache interessiert","Для всех, кто хочет изучить основы арабского языка.",كل من يهتم بتعلم أساسيات العربية
,intro_fc-2_a_long,* Anyone who’d like to learn about Middle Eastern culture * Travellers planning a trip to the Middle East or Northern Africa * Those interested in learning a new alphabet * Anyone interested in world news or politics,* Personas a las que les gustaría aprender sobre la cultura de Oriente Próximo * Personas que quieran viajar a Oriente Próximo o al norte de África * Aquellos que estén interesados en aprender un nuevo alfabeto * Personas interesadas en política o lo que sucede en el mundo,* Toute personne désireuse d’en apprendre davantage sur la culture du Moyen-Orient * Les voyageurs prévoyant une visite au Moyen-Orient ou en Afrique du Nord * Ceux qui souhaitent apprendre un nouvel alphabet * Toute personne s’intéressant aux actualités ou à la politique internationales,"* Jeder, der etwas über die Kultur des Nahen Ostens erfahren möchte. * Reisende, die einen Trip in den Nahen Osten oder Nordafrika planen * Jeder, der gern ein neues Alphabet lernen möchte * Alle, die sich für Weltnachrichten oder die Politik interessieren","* Для всех, кто интересуется культурой Ближнего Востока  * Для тех, кто планирует поездку на Ближний Восток или в Северную Африку * Для тех, кому интересно выучить новый алфавит * Для тех, кто интересуется мировыми новостями или политикой",* كل من يرغب في معرفة المزيد عن ثقافة الشرق الأوسط * المسافرون الذين يخططون لرحلة إلى الشرق الأوسط أو شمال أفريقيا * للراغبين في تعلم أبجدية جديدة * كل من يهتم بالأخبار أو السياسة العالمية
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
