,,,,,,,
,"(209, 221, Russian)",en,es,fr,de,ru,ar
,1-title,,Vocabulario ruso 1,,,,
,2-title,,Vocabulario ruso 2,,,,
,intro_title,About this course,Sobre este curso,,,,
,intro_fc-1_q,What is this course about?,¿En qué consiste este curso?,,Um was geht es bei dem Kurs?,О чем этот курс?,حول ماذا يتمحور هذا البرنامج التعليمي؟
,intro_fc-1_a_short,,Ruso para principiantes,,,,
,intro_fc-1_a_long,,¿Sabías que el ruso es el 5º idioma más hablado del mundo? Se habla mucho en Eurasia así que podrías beneficiarte si te gustaría explorar a fondo está parte del globo. El curso de lengua rusa abarca temas para el uso cotidiano y hace que empezar una conversación sea mucho más fácil. ¡Selecciona tu lengua materna en la página de inicio y pronto estarás preparado para tu viaje!,,,,
,intro_fc-2_q,Who shoud do this course?,¿A quién se dirige este curso?,,Wer sollte diesen Kurs absolvieren?,Кому может быть интересен данный курс?,من يجب أن يأخذ هذا البرنامج التعليمي؟
,intro_fc-2_a_short,,Personas interesadas en aprender las bases del ruso,,,,
,intro_fc-2_a_long,,"* Aquellos interesados en aprender sobre la lengua rusa, alfabeto y cultura * Aquellos que quieran viajar al este de Europa, Rusia o Eurasia en general * Aquellos interesados en estudiar en el extranjero * Aquellos interesados en el campo de la traducción y la lingüística",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
